ID,Last,First,Address,City,State,Zip,DOB,College,Department,Major,Degree
169,    Chan,    Killian,10 BEECH AVE,BALTIMORE,MD,21206,05/26/1977,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
372,    Humphrey,    Quincy,10 FAIRMOUNT AVE,ARLINGTON,MD,21215,02/09/2001,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
493,    Parrish,    Charlotte,10 HAMILTON AVE,BALTIMORE,MD,21237,05/25/1997,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
498,    Barron,    Delilah,10 HAMILTON AVE,ROSEDALE,MD,21237,08/22/1970,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
773,    Bowen,    Miley,10 IRONWOOD CIR,MOUNT WASHINGTON,MD,21209,03/17/1986,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
892,    West,    Avah,10 JOHNNYCAKE RD,GWYNN OAK,MD,21207,03/17/1987,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1007,    Austin,    Imani,10 LYNCH RD,DUNDALK,MD,21222,11/07/1975,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1134,    Hardy,    Abbie,10 MCCORMICK AVE,BALTIMORE,MD,21206,03/30/1972,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1138,    Case,    Averi,10 MEADOW RD,BALTIMORE,MD,21206,10/03/1963,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1220,    Ayala,    Darian,10 OAK DR,GWYNN OAK,MD,21207,03/13/1974,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1289,    Meadows,    Austin,10 PARSONS AVE,BALTIMORE,MD,21207,05/26/1964,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1417,    Moore,    Amina,10 PARSONS AVE,BALTIMORE,MD,21215,09/01/1998,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1421,    Hodge,    Chase,10 PENNY LN,BALTIMORE,MD,21209,03/15/1977,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1422,    Dodson,    Boston,10 PHILADELPHIA RD,BALTIMORE,MD,21237,06/18/2002,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1482,    Decker,    Corbin,10 RIDGE,BALTIMORE,MD,21215,03/24/1972,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1949,    Mcdowell,    Ashlee,10 SEDGEMOOR RD,GWYNN OAK,MD,21207,10/28/1960,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
2263,    Galvan,    Zaria,10 SMITH AVE,BALTIMORE,MD,21209,02/24/1969,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
2265,    Hurst,    Gregory,10 TAMERON PL,ROSEDALE,MD,21237,04/02/1996,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
2317,    Ware,    Richard,10 TRUMPS MILL,ROSEDALE,MD,21237,06/11/1989,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
2731,    Vasquez,    Mario,10 UTRECHT RD,BALTIMORE,MD,21206,03/15/1986,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
3034,    Lindsey,    Eve,10 WHITBY RD,BALTIMORE,MD,21206,04/04/1992,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
3198,    Costa,    Valentina,1000 Sumter Ave,Rosedale,MD,21237,11/09/1977,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
3276,    Schwartz,    Amiah,1000 SUMTER AVE,ROSEDALE,MD,21237,04/16/1988,School of Arts and Sciences,Anthropology,Anthropology,Ph.D.
1090,    Meza,    Quentin,1006 HARWALL RD,GWYNN OAK,MD,21207,06/23/1991,School of Arts and Sciences,Anthropology,Computer Science,Ph.D.
2874,    Maxwell,    Gemma,1006 Sumter Ave,Rosedale,MD,21237,04/27/1984,School of Arts and Sciences,"Biochemistry, Cellular and Molecular Biology",Biochemistry,Ph.D.
127,    Frey,    Nathaly,1006 SUMTER AVE,ROSEDALE,MD,21237,06/08/2000,School of Arts and Sciences,"Biochemistry, Cellular and Molecular Biology",Human Genetics and Molecular Biology,M.S.
711,    Fletcher,    Karsyn,1008 SUMTER AVE,ROSEDALE,MD,21237,11/09/2002,School of Arts and Sciences,Biology,Biochemistry,Ph.D.
265,    Stanton,    Brennen,100 BUTTONWOOD CT,ROSEDALE,MD,21237,09/25/1999,School of Arts and Sciences,Biology,Biology,M.S.
450,    Rojas,    Brent,100 Lionhead Ct,Rosedale,MD,21237,04/19/1983,School of Arts and Sciences,Biology,Biology,M.S.
583,    Hinton,    Bradley,100 LIONHEAD CT,ROSEDALE,MD,21237,07/12/1999,School of Arts and Sciences,Biology,Biology,M.S.
593,    Dominguez,    Mason,100 SAINT HELENA AVE,DUNDALK,MD,21222,03/13/2002,School of Arts and Sciences,Biology,Biology,M.S.
675,    Leblanc,    Savannah,100 W ELM AVE,RASPEBURG,MD,21206,10/21/1964,School of Arts and Sciences,Biology,Biology,M.S.
1631,    Lowe,    Holly,101 AVON BEACH RD,DUNDALK,MD,21222,02/11/1969,School of Arts and Sciences,Biology,Biology,M.S.
1686,    Solis,    Landon,101 Briarwood Rd,Dundalk,MD,21222,06/30/1994,School of Arts and Sciences,Biology,Biology,M.S.
2529,    Sanford,    Oswaldo,101 CENTER PL,DUNDALK,MD,21222,12/13/1963,School of Arts and Sciences,Biology,Biology,M.S.
2540,    Williams,    Yusuf,101 Chestnut St,Dundalk,MD,21222,07/12/1979,School of Arts and Sciences,Biology,Biology,M.S.
2590,    Howard,    Rachael,101 CHESTNUT ST,DUNDALK,MD,21222,09/13/1966,School of Arts and Sciences,Biology,Biology,M.S.
